Rebuild completion watcher started.
Watching: C:\Users\1028120\Documents\Scripts\corp-monorepo\.ecosystem\rebuild_staging\source_library\rebuild\status.json
Target: 257 files
[01:27:09] Progress: 14/257
[01:28:09] Progress: 15/257
[01:29:09] Progress: 15/257
[01:30:09] Progress: 15/257
[01:31:09] Progress: 16/257
[01:32:09] Progress: 16/257
[01:33:09] Progress: 16/257
[01:34:09] Progress: 17/257
[01:35:09] Progress: 17/257
[01:36:09] Progress: 17/257
[01:37:09] Progress: 18/257
[01:38:09] Progress: 18/257
[01:39:09] Progress: 19/257
[01:40:09] Progress: 20/257
[01:41:09] Progress: 20/257
[01:42:09] Progress: 20/257
[01:43:09] Progress: 20/257
[01:44:09] Progress: 21/257
[01:45:09] Progress: 21/257
[01:46:09] Progress: 21/257
[01:47:09] Progress: 21/257
[01:48:09] Progress: 21/257
[01:49:09] Progress: 21/257
[01:50:09] Progress: 21/257
[01:51:09] Progress: 22/257
[01:52:09] Progress: 22/257
[01:53:09] Progress: 23/257
[01:54:09] Progress: 23/257
[01:55:09] Progress: 23/257
[01:56:09] Progress: 23/257
[01:57:09] Progress: 23/257
[01:58:09] Progress: 23/257
[01:59:09] Progress: 23/257
[02:00:09] Progress: 23/257
[02:01:09] Progress: 24/257
[02:02:09] Progress: 25/257
[02:03:09] Progress: 25/257
[02:04:09] Progress: 25/257
[02:05:09] Progress: 25/257
[02:06:09] Progress: 25/257
[02:07:09] Progress: 25/257
[02:08:09] Progress: 26/257
[02:09:09] Progress: 26/257
[02:10:09] Progress: 26/257
[02:11:09] Progress: 26/257
[02:12:09] Progress: 26/257
[02:13:09] Progress: 27/257
[02:14:09] Progress: 27/257
[02:15:09] Progress: 28/257
[02:16:09] Progress: 28/257
[02:17:09] Progress: 28/257
[02:18:09] Progress: 30/257
[02:19:09] Progress: 31/257
[02:20:09] Progress: 31/257
[02:21:09] Progress: 32/257
[02:22:09] Progress: 32/257
[02:23:09] Progress: 32/257
[02:24:09] Progress: 32/257
[02:25:09] Progress: 33/257
[02:26:09] Progress: 34/257
[02:27:09] Progress: 34/257
[02:28:09] Progress: 35/257
[02:29:09] Progress: 35/257
[02:30:09] Progress: 35/257
[02:31:09] Progress: 36/257
[02:32:09] Progress: 36/257
