Rerun watcher started. Target: 38 entries.
[11:17:44] done=3, errors=0, total=3
[11:18:44] done=4, errors=0, total=4
[11:19:44] done=5, errors=0, total=5
[11:20:44] done=6, errors=0, total=6
[11:21:44] done=7, errors=0, total=7
[11:22:44] done=8, errors=0, total=8
[11:23:44] done=9, errors=0, total=9
[11:24:44] done=10, errors=0, total=10
[11:25:44] done=11, errors=0, total=11
[11:26:44] done=11, errors=0, total=11
[11:27:44] done=11, errors=0, total=11
[11:28:44] done=12, errors=0, total=12
[11:29:44] done=12, errors=0, total=12
[11:30:44] done=12, errors=0, total=12
[11:31:44] done=13, errors=0, total=13
[11:32:44] done=14, errors=0, total=14
[11:33:44] done=16, errors=0, total=16
[11:34:44] done=16, errors=0, total=16
[11:35:44] done=16, errors=0, total=16
[11:36:44] done=16, errors=0, total=16
[11:37:44] done=16, errors=0, total=16
[11:38:44] done=16, errors=0, total=16
[11:39:44] done=16, errors=0, total=16
[11:40:44] done=16, errors=0, total=16
[11:41:44] done=16, errors=0, total=16
[11:42:44] done=18, errors=0, total=18
[11:43:44] done=19, errors=0, total=19
[11:44:44] done=21, errors=0, total=21
[11:45:44] done=21, errors=0, total=21
[11:46:44] done=21, errors=0, total=21
[11:47:44] done=22, errors=0, total=22
[11:48:44] done=2, errors=0, total=2
[11:49:44] done=3, errors=0, total=3
[11:50:44] done=5, errors=0, total=5
[11:51:44] done=23, errors=0, total=23
[11:52:44] done=23, errors=0, total=23
[11:53:44] done=24, errors=0, total=24
[11:54:44] done=25, errors=0, total=25
[11:55:44] done=26, errors=0, total=26
[11:56:44] done=7, errors=0, total=7
[11:57:44] done=8, errors=0, total=8
[11:58:44] done=9, errors=0, total=9
[11:59:44] done=10, errors=0, total=10
[12:00:44] done=10, errors=0, total=10
[12:01:44] done=27, errors=0, total=27
[12:02:44] done=28, errors=0, total=28
[12:03:44] done=28, errors=0, total=28
[12:04:44] done=28, errors=0, total=28
[12:05:44] done=12, errors=0, total=12
[12:06:44] done=12, errors=0, total=12
[12:07:44] done=13, errors=0, total=13
[12:08:44] done=14, errors=0, total=14
[12:09:44] done=32, errors=0, total=32
[12:10:44] done=32, errors=0, total=32
[12:11:44] done=16, errors=0, total=16
[12:12:44] done=34, errors=0, total=34
[12:13:44] done=34, errors=0, total=34
[12:14:44] done=17, errors=0, total=17
[12:15:44] done=35, errors=0, total=35
[12:16:44] done=35, errors=0, total=35
[12:17:44] done=19, errors=0, total=19
35
[12:17:44] done=19, errors=0, total=19
